* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
2184.006490	64.888320
2215.773596	64.999950
2248.002765	65.122035
2280.700718	65.249845
2313.874274	65.377646
2347.530351	65.527370
2381.675966	65.664106
2416.318240	65.832024
2451.464399	65.998529
2487.121769	66.148237
2523.297789	66.319902
2560.000000	66.503676
2597.236057	66.671591
2635.013726	66.883362
2673.340883	67.095138
2712.225522	67.306900
2751.675750	67.518660
2791.699796	67.686572
2832.306004	67.898341
2873.502844	68.066260
2915.298905	68.234183
2957.702904	68.383606
3000.723683	68.489503
3044.370214	68.577106
3088.651599	68.639888
3133.577071	68.678432
3179.155999	68.704868
3225.397888	68.702407
3272.312380	68.678826
3319.909260	68.634091
3368.198452	68.550812
3417.190027	68.449995
3466.894200	68.344136
3517.321337	68.216324
3568.481954	68.110430
3620.386720	67.982626
3673.046457	67.876731
3726.472148	67.770865
3780.674934	67.664953
3835.666117	67.579283
3891.457165	67.508729
3948.059713	67.439659
4005.485564	67.386749
4063.746693	67.338392
4122.855250	67.291838
4182.823560	67.238887
4243.664130	67.185914
4305.389646	67.131521
4368.012981	67.046305
4431.547192	66.960690
4496.005531	66.854835
4561.401437	66.727023
4627.748549	66.599208
4695.060701	66.463261
4763.351932	66.299721
4832.636481	66.150006
4902.928797	66.000245
4974.243539	65.835456
5046.595577	65.700787
5120.000000	65.551045
5194.472115	65.423227
5270.027452	65.295345
5346.681766	65.145702
5424.451043	65.017889
5503.351500	64.879325
5583.399591	64.762258
5664.612008	64.634439
5747.005687	64.528579
5830.597810	64.422674
5915.405808	64.336059
6001.447367	64.250860
6088.740429	64.165660
6177.303198	64.110851
6267.154142	64.087459
6358.311998	64.071339
6450.795775	64.094777
6544.624761	64.132411
6639.818520	64.226898
6736.396904	64.332806
6834.380053	64.482516
6933.788400	64.626885
7034.642675	64.748474
7136.963909	64.807082
7240.773439	64.714809
7346.092914	64.412248
7452.944296	63.817724
7561.349867	62.899320
7671.332234	61.616233
7782.914330	60.133859
7896.119426	58.563752
8010.971128	57.037471
8127.493386	55.681138
8245.710500	54.529074
8365.647121	53.692251
8487.328260	53.160449
8610.779292	52.955436
8736.025961	52.973185
8863.094385	53.079038
8992.011061	53.160366
9122.802874	53.187638
9255.497097	53.140870
9390.121402	53.013051
9526.703863	52.863338
9665.272962	52.744547
9805.857594	52.733743
9948.487077	52.862245
10093.191154	53.219103
10240.000000	53.686503
10388.944230	54.153901
10540.054903	54.577418
10693.363532	54.957090
10848.902086	55.273025
11006.703001	55.572501
11166.799182	55.833033
11329.224017	56.127604
11494.011375	56.427069
11661.195620	56.682685
11830.811616	56.894452
12002.894734	56.983116
12177.480858	56.984448
12354.606395	56.899514
12534.308283	56.711513
12716.623996	56.412044
12901.591551	56.068717
13089.249521	55.759110
13279.637040	55.513612
13472.793808	55.429766
13668.760107	55.510060
13867.576801	55.783490
14069.285350	56.207026
14273.927818	56.683419
14481.546879	57.185680
14692.185828	57.609203
14905.888592	57.988872
15122.699734	58.324695
15342.664467	58.601317
15565.828661	58.734715
15792.238852	58.728438
16021.942256	58.593093
16254.986772	58.191337
16491.420999	57.556041
16731.294241	56.629171
16974.656520	55.381433
17221.558584	53.899012
17472.051922	52.205707
17726.188769	50.467757
17984.022122	48.838068
18245.605748	47.311827
18510.994194	46.016019
18780.242805	45.084928
19053.407727	44.571808
19330.545924	44.421445
19611.715189	44.421445
19896.974155	44.421445
20186.382308	44.421445
